product_id,product_name,skin_type,product_category,price_range
2613,Cleanser L 483,sensitive,Cleanser,Medium
6811,Moisturizer F 511,dry,Moisturizer,Medium
3278,Serum O 708,normal,Serum,High
6978,Cleanser Q 205,oily,Cleanser,Low
1075,Sunscreen C 208,normal,Sunscreen,Medium
2313,Cleanser G 329,normal,Cleanser,Low
1014,Moisturizer K 114,normal,Moisturizer,Low
9978,Moisturizer A 411,oily,Moisturizer,Low
5354,Cleanser G 202,normal,Cleanser,Low
4618,Serum E 459,oily,Serum,High
8199,Moisturizer F 935,dry,Moisturizer,Medium
7151,Toner I 965,oily,Toner,Medium
2995,Toner D 872,sensitive,Toner,Low
9067,Sunscreen H 700,sensitive,Sunscreen,Medium
9158,Sunscreen H 363,sensitive,Sunscreen,Medium
1762,Moisturizer A 754,oily,Moisturizer,Low
706,Sunscreen H 295,sensitive,Sunscreen,Medium
8230,Toner S 617,normal,Toner,Medium
9681,Sunscreen R 805,dry,Sunscreen,Medium
4917,Cleanser G 515,normal,Cleanser,Low
275,Serum T 664,sensitive,Serum,High
3770,Moisturizer A 831,oily,Moisturizer,Low
8774,Serum J 635,dry,Serum,High
4254,Moisturizer F 293,dry,Moisturizer,Medium
9091,Toner I 473,oily,Toner,Medium
8834,Moisturizer F 51,dry,Moisturizer,Medium
5345,Moisturizer K 946,normal,Moisturizer,Low
3566,Serum O 797,normal,Serum,High
5862,Serum T 457,sensitive,Serum,High
4682,Moisturizer P 105,sensitive,Moisturizer,Medium
8972,Toner I 127,oily,Toner,Medium
6127,Cleanser B 366,dry,Cleanser,Medium
6593,Toner S 59,normal,Toner,Medium
6379,Moisturizer K 396,normal,Moisturizer,Low
7050,Serum J 682,dry,Serum,High
2129,Serum E 222,oily,Serum,High
2980,Serum O 442,normal,Serum,High
5952,Sunscreen C 277,normal,Sunscreen,Medium
2150,Toner N 732,dry,Toner,Low
529,Moisturizer K 546,normal,Moisturizer,Low
5228,Sunscreen C 78,normal,Sunscreen,Medium
5700,Moisturizer P 418,sensitive,Moisturizer,Medium
2701,Moisturizer P 267,sensitive,Moisturizer,Medium
9676,Toner I 21,oily,Toner,Medium
8658,Cleanser G 405,normal,Cleanser,Low
575,Cleanser B 731,dry,Cleanser,Medium
6391,Toner I 820,oily,Toner,Medium
